,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA
4123,2018-10-08,345.179993,352.950012,338.109985,349.100006,349.100006,12375500,41.02588853994687,370.1869996
4124,2018-10-09,348.480011,358.720001,347.089996,355.709991,355.709991,8755000,45.42287090700685,368.81499940000003
4125,2018-10-10,353.519989,355.149994,325.390015,325.890015,325.890015,17183100,33.34448643618916,363.6160004
4126,2018-10-11,324.940002,334.200012,315.809998,321.100006,321.100006,16082100,31.87812586636835,357.6550019
4127,2018-10-12,339.570007,341.299988,328.899994,339.559998,339.559998,14870800,42.39234042161952,354.1980012
4128,2018-10-15,337.630005,339.209991,326.929993,333.130005,333.130005,11215000,40.072286663635964,349.36800239999997
4129,2018-10-16,337.23999,347.950012,330.559998,346.399994,346.399994,20156400,46.57106758176568,346.2940003
4130,2018-10-17,378.329987,380.0,356.5,364.700012,364.700012,32610900,53.982363242781794,345.0590027
4131,2018-10-18,360.670013,362.200012,346.049988,346.709991,346.709991,18461000,47.06999825801909,343.3650024
4132,2018-10-19,351.0,355.799988,332.200012,332.670013,332.670013,16717200,42.49651089712508,341.49700310000003
4133,2018-10-22,333.100006,335.799988,320.339996,329.540009,329.540009,17097200,41.52777561165608,339.5410034
4134,2018-10-23,318.0,336.579987,316.769989,333.160004,333.160004,14907300,43.14209860227364,337.2860047
4135,2018-10-24,332.279999,333.0,300.730011,301.829987,301.829987,19039300,34.312668802796374,334.88000189999997
4136,2018-10-25,307.119995,319.940002,305.25,312.869995,312.869995,13346900,39.04660835371704,334.05700079999997
4137,2018-10-26,300.51001,313.98999,292.299988,299.829987,299.829987,19616000,35.767727803316056,330.0839997
4138,2018-10-29,305.26001,307.890015,275.399994,284.839996,284.839996,21698800,32.39958901999996,325.2549988
4139,2018-10-30,275.570007,290.519989,271.209991,285.809998,285.809998,23685700,32.84030952120864,319.1959992
4140,2018-10-31,297.769989,311.5,295.049988,301.779999,301.779999,20360300,39.79910197332404,312.90399790000004
4141,2018-11-01,304.589996,318.450012,296.670013,317.380005,317.380005,15121500,45.71609165320316,309.9709993
4142,2018-11-02,318.0,321.880005,308.329987,309.100006,309.100006,13404600,43.284341991507965,307.61399859999995
4143,2018-11-05,311.100006,317.529999,303.73999,315.440002,315.440002,10283000,45.66750001592501,306.2039979
4144,2018-11-06,314.76001,320.220001,305.299988,310.839996,310.839996,9710400,44.21578521286761,303.9719971
4145,2018-11-07,312.899994,328.559998,311.0,327.5,327.5,13328300,50.36933285561558,306.53899839999997
4146,2018-11-08,328.0,332.049988,316.609985,317.920013,317.920013,11023900,47.14858026620886,307.0440002
4147,2018-11-09,311.070007,312.980011,298.01001,303.470001,303.470001,13480800,42.71217858632176,307.4080016
4148,2018-11-12,300.0,302.48999,290.630005,294.070007,294.070007,10924800,40.07077915281649,308.3310027
4149,2018-11-13,295.0,303.549988,289.100006,294.399994,294.399994,12232200,40.2105642104254,309.1900023
4150,2018-11-14,300.399994,301.839996,278.299988,286.730011,286.730011,16853600,37.99236425325089,307.6850035
4151,2018-11-15,285.51001,292.5,282.160004,290.059998,290.059998,9967100,39.55148231016851,304.9530028
4152,2018-11-16,287.140015,291.720001,281.0,286.209991,286.209991,9099500,38.35084340390027,302.6640013
4153,2018-11-19,283.790009,285.089996,269.149994,270.600006,270.600006,12993800,33.86242482240805,298.1800017
4154,2018-11-20,254.630005,276.339996,250.0,266.980011,266.980011,16693800,32.900779791011864,293.7940032
4155,2018-11-21,274.420013,275.339996,261.51001,262.130005,262.130005,11023000,31.60574407559342,287.2570037
4156,2018-11-23,260.109985,265.5,256.839996,258.820007,258.820007,5245100,30.71710386790355,281.3470031
4157,2018-11-26,260.549988,266.25,253.800003,261.429993,261.429993,12498600,32.33270404563011,277.1430023
4158,2018-11-27,259.23999,269.079987,256.140015,266.630005,266.630005,11149500,35.55699690048743,274.39900209999996
4159,2018-11-28,271.980011,284.0,263.339996,282.649994,282.649994,14801300,44.35395480946237,273.2240021
4160,2018-11-29,282.320007,290.48999,275.5,288.75,288.75,15431500,47.30373278068368,273.426001
4161,2018-11-30,288.0,290.809998,283.059998,286.130005,286.130005,11860100,46.17163188987148,273.0330017
4162,2018-12-03,293.190002,298.720001,284.579987,290.299988,290.299988,14117400,48.29272566787014,273.4420014
4163,2018-12-04,288.130005,295.73999,274.720001,275.329987,275.329987,12800600,41.90831156131795,273.91499949999996
4164,2018-12-06,268.329987,283.220001,267.140015,282.880005,282.880005,13074300,45.80009526216772,275.50499890000003
4165,2018-12-07,282.480011,284.209991,263.380005,265.140015,265.140015,12466700,39.161396888127605,275.8059999
4166,2018-12-10,264.190002,271.179993,260.609985,269.700012,269.700012,9605600,41.50835979292234,276.8940004
4167,2018-12-11,274.079987,274.5,262.76001,265.320007,265.320007,9843200,39.91555026493926,277.2830018
4168,2018-12-12,267.660004,281.769989,266.480011,274.880005,274.880005,11456700,44.8866550853757,278.1080018
4169,2018-12-13,277.640015,279.320007,271.850006,276.019989,276.019989,8379300,45.466061546878066,277.44500129999994
4170,2018-12-14,271.809998,277.670013,265.0,266.839996,266.839996,9915300,41.66723452288314,275.2540009
4171,2018-12-17,266.51001,272.980011,261.079987,262.799988,262.799988,9634700,40.08009367320424,272.9209992
4172,2018-12-18,263.299988,275.75,263.290009,270.940002,270.940002,10350100,44.65446088311696,270.98500060000003
4173,2018-12-19,269.959991,280.869995,263.769989,266.769989,266.769989,13788400,42.84975998995168,270.1290008
4174,2018-12-20,264.640015,269.899994,251.880005,260.579987,260.579987,16792900,40.24937535398617,267.898999
4175,2018-12-21,263.829987,264.5,241.289993,246.389999,246.389999,21397600,35.004984938097294,266.0239974
4176,2018-12-24,242.0,250.649994,233.679993,233.880005,233.880005,9547600,31.15133477208113,262.4419967
4177,2018-12-26,233.919998,254.5,231.229996,253.669998,253.669998,14402700,42.024587061745414,261.2769958
4178,2018-12-27,250.110001,255.589996,240.100006,255.570007,255.570007,12235200,42.95605559638634,259.345996
4179,2018-12-28,257.940002,261.910004,249.800003,256.079987,256.079987,10992800,43.219751749998764,257.3519958
4180,2018-12-31,260.160004,270.100006,260.0,267.660004,267.660004,13508900,48.98637010326908,257.4339966
4181,2019-01-02,259.279999,269.75,256.579987,267.660004,267.660004,11679500,48.98637010326909,257.9199982
4182,2019-01-03,270.200012,275.790009,264.429993,271.200012,271.200012,14969600,50.759382714886215,257.9459992
4183,2019-01-04,281.880005,297.799988,278.540009,297.570007,297.570007,19330100,61.49511969141648,261.026001
4184,2019-01-07,302.100006,316.799988,301.649994,315.339996,315.339996,18620100,66.75521588279832,266.5020019
4185,2019-01-08,319.980011,320.589996,308.01001,320.269989,320.269989,15359200,68.05889777745494,273.8900009
4186,2019-01-09,317.709991,323.350006,313.5,319.959991,319.959991,13343200,67.87864641210645,282.4979995
4187,2019-01-10,314.570007,325.369995,312.5,324.660004,324.660004,13472500,69.21010219932892,289.5970001
4188,2019-01-11,330.959991,341.089996,328.519989,337.589996,337.589996,19500400,72.57770312479225,297.798999
4189,2019-01-14,334.23999,335.480011,329.130005,332.940002,332.940002,10499600,69.62828144221139,305.48500049999996
4190,2019-01-15,349.600006,357.220001,347.0,354.640015,354.640015,21181200,74.779201069547,314.1830016
4191,2019-01-16,354.0,358.850006,348.109985,351.390015,351.390015,15385500,72.78814224107069,322.5560027
4192,2019-01-17,349.5,355.790009,346.410004,353.190002,353.190002,18871200,73.21353429875215,330.7550017
4193,2019-01-18,351.970001,353.0,336.730011,339.100006,339.100006,26621000,64.68870265361167,334.9080016
4194,2019-01-22,334.890015,336.880005,321.029999,325.160004,325.160004,17941400,57.54916461284547,335.8900024
4195,2019-01-23,328.25,331.75,318.600006,321.98999,321.98999,13480100,56.03462319638712,336.0620025
4196,2019-01-24,320.600006,331.799988,319.0,326.670013,326.670013,11131600,57.80034594200188,336.7330047
4197,2019-01-25,328.720001,340.0,328.51001,338.049988,338.049988,11152900,61.816124204388565,338.07200309999996
4198,2019-01-28,334.700012,336.299988,328.880005,335.660004,335.660004,8652100,60.513698673024095,337.8790039
4199,2019-01-29,335.869995,338.220001,328.149994,328.899994,328.899994,7655200,56.86424831837572,337.4750031
4200,2019-01-30,332.75,341.779999,330.799988,340.660004,340.660004,9234500,61.2431688040122,336.077002
4201,2019-01-31,339.679993,345.98999,338.089996,339.5,339.5,8535500,60.58978914638914,334.8880005
4202,2019-02-01,337.179993,346.839996,336.5,339.850006,339.850006,9827800,60.72593814802677,333.5540009
4203,2019-02-04,342.600006,352.0,341.299988,351.339996,351.339996,9051400,65.00054194322257,334.77799990000005
4204,2019-02-05,353.200012,360.0,352.899994,355.809998,355.809998,9046600,66.52690776092871,337.8429993
4205,2019-02-06,357.0,357.040009,347.190002,352.190002,352.190002,6717700,64.08927797790729,340.8630005
4206,2019-02-07,347.899994,348.75,339.019989,344.709991,344.709991,7864500,59.25764818575787,342.6669983
4207,2019-02-08,338.0,348.0,338.0,347.570007,347.570007,7561400,60.4843206974289,343.6190002
4208,2019-02-11,350.0,352.869995,344.809998,345.730011,345.730011,5454900,59.24839537322869,344.62600089999995
4209,2019-02-12,348.089996,360.0,346.519989,359.970001,359.970001,10429400,65.17864038350669,347.73300159999997
4210,2019-02-13,357.299988,359.600006,350.279999,351.769989,351.769989,10559100,59.7835456115829,348.8440001
4211,2019-02-14,351.75,360.450012,348.329987,359.070007,359.070007,9295300,62.740375763762316,350.8010008
4212,2019-02-15,358.470001,364.399994,355.5,356.869995,356.869995,9230000,61.27815126647705,352.50299970000003
4213,2019-02-19,355.799988,365.0,355.320007,361.920013,361.920013,7396600,63.387502287213536,353.5610014
